10017413,"DKNY Unisex Black & Grey Printed Medium Trolley Bag","DKNY","Unisex",11745.00,10453.39," Black"
10016283,"EthnoVogue Women Beige & Grey Made to Measure Custom Made Kurta Set with Jacket","EthnoVogue","Women",5810.00,5242.20," Beige"
10009781,"SPYKAR Women Pink Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans","SPYKAR","Women",899.00,765.06," Pink"
10015921,"Raymond Men Blue Self-Design Single-Breasted Bandhgala Suit","Raymond","Men",5599.00,5290.03,"Blue"
10017833,"Parx Men Brown & Off-White Slim Fit Printed Casual Shirt","Parx","Men",759.00,665.21," White"
10014361,"SHOWOFF Men Brown Solid Slim Fit Regular Shorts","SHOWOFF","Men",791.00,707.59," Brown"
10017869,"Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men",719.00,639.86,"Blue"
10009695,"SPYKAR Women Burgundy Alexa Super Skinny Fit High-Rise Clean Look Stretchable Ankle Jeans","SPYKAR","Women",899.00,778.80," Burgundy"
10000571,"Parx Men Brown Tapered Fit Solid Regular Trousers","Parx","Men",664.00,624.35," Red"
10017421,"DKNY Unisex Black Large Trolley Bag","DKNY","Unisex",17360.00,16522.34," Black"
10000911,"Kenneth Cole Women Navy Blue Solid Backpack","Kenneth Cole","Women",2463.00,2116.44,"Blue"
10000245,"Parx Men Green Printed Polo Collar T-shirt","Parx","Men",629.00,596.23," Green"
10001989,"Police Men To Be The King Eau De Toilette 125 ml","Police","Men",2695.00,2448.30,"\N"
10016727,"Vishudh Women Maroon Printed Kurta with Palazzos","Vishudh","Women",892.00,784.03," Maroon"
10017749,"Parx Men Red Slim Fit Checked Casual Shirt","Parx","Men",752.00,696.96," Red"
1000795,"Being Human Clothing Navy Printed Casual Slim Shirt","Being Human","Men",1079.00,906.26," Navy"
10003803,"Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade","Homesake","Unisex",1620.00,1443.14," White"
10012765,"SEJ by Nisha Gupta Set of 6 Mustard & Blue Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,832.65,"Blue"
10014413,"YAK YAK Men Camel Brown Solid Polo Collar T-shirt","YAK YAK","Men",599.00,564.83," Brown"
10013483,"PARFAIT Plus Size Black Striped Non-Wired Lightly Padded T-shirt Bra P5252","PARFAIT","Women",1749.00,1562.51," Red"
10001265,"Michael Kors Women Sexy Amber Eau de Parfum 100ml","Michael Kors","Women",7920.00,6831.29,"\N"
10004155,"HIGHLANDER Men Mustard & Black Slim Fit Checked Casual Shirt","HIGHLANDER","Men",699.00,606.20," Black"
10012795,"SEJ by Nisha Gupta Set of 6 Multicoloured Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,786.83," Red"
10009723,"SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Ankle Jeans","SPYKAR","Women",1199.00,1032.82,"Blue"
10012853,"JEWEL JUNCTION Gold-Toned Square Cufflinks","JEWEL JUNCTION","Men",539.00,499.46," Gold"
10006001,"ID Men Tan Brown Fisherman Leather Sandals","ID","Men",2385.00,2002.93," Brown"
10017377,"Story@home Multicoloured Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers","Story@home","Unisex",1199.00,1119.72," Red"
10015839,"Raymond Men Blue Slim Fit Printed Formal Shirt","Raymond","Men",1079.00,964.98,"Blue"
10003123,"Gini and Jony Boys Navy Blue Regular Fit Solid Casual Shirt","Gini and Jony","Boys",699.00,583.36,"Blue"
10012767,"SEJ by Nisha Gupta Set of 6 Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,811.67,"\N"
10013041,"Sera Women Blue Printed Kurta with Palazzos","Sera","Women",1437.00,1203.31,"Blue"
10014831,"AccessHer Women Gold-Toned & Pink Gold-Plated AD-Studded Maang Tikka","AccessHer","Women",979.00,836.43," Pink"
10017831,"Parx Men Blue Slim Fit Printed Casual Shirt","Parx","Men",779.00,693.62,"Blue"
10002713,"Alcis Women Yellow & Blue Colorblocked Tights","Alcis","Women",749.00,686.14,"Blue"
10006029,"ID Men Brown Leather Formal Slip-Ons","ID","Men",956.00,832.16," Brown"
10005903,"Difference of Opinion Men Navy Blue Solid Round Neck T-shirt With Side Strip Detail","Difference of Opinion","Men",499.00,468.80,"Blue"
10017781,"Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men",769.00,701.23,"Blue"
10002151,"Michael Kors Extreme Blue For Men Edt 70 ml","Michael Kors","Men",4275.00,3997.23,"Blue"
10015989,"Tokyo Talkies Women Off-White & Pink Floral Print Fit and Flare Dress","Tokyo Talkies","Women",499.00,437.74," White"
10001111,"ANNA SUI Women La Vie De Boheme EDT 75ml","ANNA SUI","Women",4600.00,4350.72,"\N"
10004151,"HIGHLANDER Men Navy Blue & Maroon Slim Fit Checked Casual Shirt","HIGHLANDER","Men",699.00,657.33,"Blue"
10007705,"her by invictus Women Brown Solid Cushioned Mules","her by invictus","Women",1044.00,970.77," Brown"
10006041,"ID Men Beige Leather Derbys","ID","Men",2685.00,2505.30," Beige"
10009621,"SPYKAR Women Blue Adora Skinny Fit Mid-Rise Low Distress Ankle-length Stretchable Jeans","SPYKAR","Women",1124.00,1009.93,"Blue"
10009681,"SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Ankle-Length Stretchable Jeans","SPYKAR","Women",989.00,854.61,"Blue"
10017569,"Soie Nude-Coloured Solid Non-Wired Non Padded Maternity Bra CB-331NUDE","Soie","Women",750.00,673.22," Red"
10001251,"Lara Karen Women Black Solid Maxi Satin Skirt","Lara Karen","Women",1999.00,1680.12," Black"
10003199,"Gini and Jony Girls Yellow Fit and Flare Embellished Dress","Gini and Jony","Girls",1619.00,1407.51," Yellow"
10017405,"Story@home Off-White & Blue Geometric 210TC Cotton 1 King Bedsheet with 2 Pillow Covers","Story@home","Unisex",1199.00,1038.52,"Blue"
10013687,"PARFAIT Plus Size Blue Solid Underwired Lightly Padded Plunge Bra 2801","PARFAIT","Women",1189.00,1028.44,"Blue"
10015163,"Urban Dog Men Grey Solid Regular Fit Sports Shorts","Urban Dog","Men",399.00,378.41," Grey"
1000710,"ahilya Sterling Silver Textured Bangle","ahilya","Women",9756.00,8850.44," Red"
10013541,"PARFAIT Plus Size Blue Solid Underwired Lightly Padded T-shirt Bra P5441","PARFAIT","Women",1609.00,1378.19,"Blue"
10002833,"VASTRAMAY Boys Navy Blue & Maroon Solid Kurta with Dhoti Pants & Jacket","VASTRAMAY","Boys",1469.00,1239.40,"Blue"
10005915,"Difference of Opinion Men Grey Melange Printed Round Neck T-shirt","Difference of Opinion","Men",499.00,469.61," Grey"
10002707,"Campus Sutra Men White & Blue Regular Fit Colourblocked Casual Shirt","Campus Sutra","Men",479.00,400.28,"Blue"
10012433,"FIDO DIDO Men White Printed Round Neck T-shirt","FIDO DIDO","Men",449.00,419.11," White"
10012699,"MIAH Decor Beige & Black Indian Art Printed Set of 4 Ceramic Bowls","MIAH Decor","Unisex",1469.00,1324.26," Black"
10012851,"JEWEL JUNCTION Gold-Toned Geometric Cufflinks","JEWEL JUNCTION","Men",539.00,483.34," Gold"
10016755,"Vishudh Women Off-White & Green Floral Print A-Line Dress","Vishudh","Women",1299.00,1131.47," Green"
10015159,"Urban Dog Men Grey Printed Regular Fit Sports Shorts","Urban Dog","Men",399.00,333.42," Grey"
10013655,"PARFAIT Plus Size Women Navy Blue  White Solid Low-Rise Bikini Brief PP303","PARFAIT","Women",499.00,441.01,"Blue"
10012821,"SEJ by Nisha Gupta Set of 6 Yellow & Blue Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,816.87,"Blue"
10006073,"ID Men Brown Leather Loafers","ID","Men",1218.00,1064.56," Brown"
10013491,"PARFAIT Plus Size Red Solid Underwired Lightly Padded T-shirt Bra P5391","PARFAIT","Women",1609.00,1471.34," Red"
10009773,"SPYKAR Women Blue Adora Skinny Fit Mid-Rise Mildly Distressed Stretchable Cropped Jeans","SPYKAR","Women",1214.00,1066.55,"Blue"
10009643,"SPYKAR Women Blue Adora Skinny Fit Mid-Rise Clean Look Stretchable Cropped Jeans","SPYKAR","Women",899.00,786.45,"Blue"
10015831,"Raymond Men Blue Regular Fit Self Design Formal Shirt","Raymond","Men",1154.00,1005.50,"Blue"
10014675,"BuckleUp Women Multicoloured Printed Belt","BuckleUp","Women",449.00,385.56," Red"
10012761,"Peter England Men Black Briefs PIWBK9146012","Peter England","Men",266.00,250.06," Black"
10001887,"AIGNER Men Platinum Eau De Toilette Perfume 100 ml","AIGNER","Men",3640.00,3217.71," Platinum"
10003179,"Gini and Jony Girls Blue Solid Jacket","Gini and Jony","Girls",1189.00,994.45,"Blue"
10003821,"Homesake Gold-Toned Solid Handcrafted Table Lamp with Shade","Homesake","Unisex",1836.00,1689.44," Gold"
10017017,"Campus Sutra Men Black Solid Round Neck Faux Leather T-shirt","Campus Sutra","Men",699.00,595.64," Black"
10012721,"MIAH Decor Set of 3 Blue & Off-White Handpainted Kitchen Storage Jars with Lids","MIAH Decor","Unisex",3116.00,2630.92,"Blue"
10003341,"Gini and Jony Girls Peach-Coloured Floral Embroidered Fit & Flare Dress","Gini and Jony","Girls",1484.00,1353.58," Red"
10013417,"SEJ by Nisha Gupta Blue & Green Printed Wooden Open Dry Bin","SEJ by Nisha Gupta","Unisex",999.00,920.00,"Blue"
10017923,"Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men",859.00,806.35,"Blue"
10013665,"PARFAIT Plus Size Black Lace Non-Wired Non Padded Everyday Bra P5482","PARFAIT","Women",1679.00,1483.34," Red"
10017595,"Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men",939.00,801.82,"Blue"
10000805,"Lady Lyka Women Pack of 2 Beginners Bras TEENAGER-WHT-BLK","Lady Lyka","Women",425.00,379.11,"\N"
10012769,"SEJ by Nisha Gupta Set of 4 Multicoloured Printed Table Placemats","SEJ by Nisha Gupta","Unisex",799.00,689.99," Red"
10007835,"her by invictus Women Red Cushioned Loafers","her by invictus","Women",1299.00,1098.69," Red"
10012881,"JEWEL JUNCTION Gold-Toned & Black Round Cufflinks","JEWEL JUNCTION","Men",539.00,463.73," Black"
10013617,"PARFAIT Plus Size Black Solid Non-Wired Non Padded Sports Bra P5542","PARFAIT","Women",1749.00,1538.02," Red"
10007811,"her by invictus Women Tan Brown Cushioned Slip-on Shoes","her by invictus","Women",949.00,903.72," Brown"
10017427,"DKNY Unisex Black Medium Trolley Bag","DKNY","Unisex",13320.00,11579.20," Black"
10017899,"Parx Men Yellow & Off-White Slim Fit Checked Casual Shirt","Parx","Men",647.00,611.69," Yellow"
10017369,"Story@home Mauve & Grey Geometric 210 TC Cotton 1 King Bedsheet with 2 Pillow Covers","Story@home","Unisex",1799.00,1546.32," Grey"
10017671,"Parx Men Blue & Off-White Slim Fit Printed Casual Shirt","Parx","Men",779.00,684.80,"Blue"
10007595,"her by invictus Women Green Cushioned Slip-Ons","her by invictus","Women",1999.00,1883.59," Green"
10004343,"Park Avenue Women Blue Skinny Fit Mid-Rise Clean Look Jeans","Park Avenue","Women",569.00,525.34,"Blue"
10007683,"Roadster Women Black Textured Open Toe Flats","Roadster","Women",1699.00,1424.12," Red"
10007801,"her by invictus Women Black Textured Cushioned Flats","her by invictus","Women",944.00,817.69," Red"
10002181,"U.S. Polo Assn. Denim Co. Men Navy Blue Solid Bomber Jacket","U.S. Polo Assn. Denim Co.","Men",3499.00,3301.88,"Blue"
10012783,"SEJ by Nisha Gupta Set of 6 Pink Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,797.53," Pink"
10003387,"Gini and Jony Girls Navy Blue Washed Denim Jacket","Gini and Jony","Girls",1329.00,1206.85,"Blue"
10004053,"Sweet Dreams Men Navy Blue Solid Straight-Fit Trackpants","Sweet Dreams","Men",699.00,623.74,"Blue"
10017211,"Kazo Women Yellow Floral Print Shirt Dress","Kazo","Women",1345.00,1189.76," Yellow"
10003299,"Gini and Jony Boys Red & Grey Melange Solid Varsity Jacket with Applique Detail","Gini and Jony","Boys",649.00,544.58," Red"
10013569,"PARFAIT Plus Size Beige Solid Underwired Lightly Padded Plunge Bra 2801","PARFAIT","Women",1189.00,1083.11," Red"
10017835,"Parx Men Blue Slim Fit Checked Casual Shirt","Parx","Men",839.00,739.12,"Blue"
10017771,"Parx Men Black & Red Slim Fit Checked Casual Shirt","Parx","Men",577.00,525.85," Red"
10006019,"ID Men Tan Brown Formal Leather Oxfords","ID","Men",1432.00,1259.03," Brown"
10002825,"Stylo Bug Girls Turquoise Blue A-Line Dress","Stylo Bug","Girls",698.00,585.68,"Blue"
10013703,"PARFAIT Plus Size Women Black  Red Printed Lace Detail Hipster Brief 2805","PARFAIT","Women",899.00,769.12," Red"
10012713,"MIAH Decor Set Of 5 Handcrafted Ceramic Kulladhs","MIAH Decor","Unisex",865.00,755.30,"\N"
10012875,"JEWEL JUNCTION Gold-Toned Geometric Cufflinks","JEWEL JUNCTION","Men",539.00,477.16," Gold"
10015997,"Tokyo Talkies Women Black & Red Floral Print Fit and Flare Dress","Tokyo Talkies","Women",499.00,423.93," Red"
10012771,"SEJ by Nisha Gupta Set of 6 Printed Table Placemats","SEJ by Nisha Gupta","Unisex",899.00,774.26,"\N"
10013055,"Sera Women Black Printed Loose Fit Regular Shorts","Sera","Women",547.00,505.75," Black"
10003213,"Gini and Jony Boys Black & Grey Embroidered Regular Fit Shorts","Gini and Jony","Boys",839.00,791.48," Red"
10014775,"AccessHer Gold-Plated & Black Multistrand Head Chain","AccessHer","Women",559.00,474.99," Black"
10002337,"Bvlgari Women Splendida Iris D'Or Eau De Parfum 100 ml","Bvlgari","Women",10950.00,9378.34,"\N"
1000745,"ahilya Sterling Silver Statement Ring","ahilya","Women",3875.00,3389.90," Silver"
10009685,"SPYKAR Women Blue Alexa Super Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans","SPYKAR","Women",1214.00,1041.40,"Blue"
10012429,"FIDO DIDO Men Grey & Black Printed Colourblocked Polo Collar T-shirt","FIDO DIDO","Men",599.00,512.47," Black"
10017723,"Parx Men Pink Slim Fit Solid Casual Shirt","Parx","Men",739.00,691.59," Pink"
10017855,"Parx Men Navy Blue Slim Fit Printed Casual Shirt","Parx","Men",739.00,635.60,"Blue"
10013025,"Sera Women White Self Design Top","Sera","Women",714.00,666.04," White"
10001211,"Bvlgari Women Omnia Crystalline Eau De Toilette 40 ml","Bvlgari","Women",5650.00,4880.15,"\N"
10006003,"ID Men Grey Solid Thong Flip-Flops","ID","Men",1685.00,1490.80," Grey"
10012841,"JEWEL JUNCTION Silver-Toned Geometric Cufflinks","JEWEL JUNCTION","Men",539.00,497.96," Silver"
10017423,"DKNY Unisex Gold & White Printed Cabin Trolley Bag","DKNY","Unisex",14400.00,12179.79," White"
10000599,"Parx Men Khaki Slim Fit Solid Regular Trousers","Parx","Men",839.00,718.14," Khaki"
10002809,"Qraa Men Pack of 2 Face And Beard Wash 100gm each","Qraa Men","Men",336.00,299.99,"\N"
10013641,"PARFAIT Plus Size Blue Lace Underwired Lightly Padded Plunge Bra P5351","PARFAIT","Women",1749.00,1611.56,"Blue"
10000657,"Lady Lyka Women Peach and Burgundy Pack of 2 Everyday Bras ENTIZER-11-PCH-WHN","Lady Lyka","Women",510.00,441.26," Burgundy"
10005937,"Difference of Opinion Men Olive Green Printed Round Neck T-shirt","Difference of Opinion","Men",499.00,420.05," Green"
10001573,"Michael Kors Women Eau de Toilette 50 ml","Michael Kors","Women",5715.00,5203.38,"\N"
10003809,"Homesake Gold-Toned & White Solid Handcrafted Table Lamp with Shade","Homesake","Unisex",1732.00,1472.11," White"
10006069,"ID Men Black Leather Formal Derbys","ID","Men",1627.00,1438.23," Black"
10017501,"Soie Brown Underwired Non Padded full coverage Everyday Bra FB-610CRIMSON","Soie","Women",693.00,607.67," Red"
